direction,training_generalized_eigenvalue,heldout_generalized_eigenvalue
256,3.8769868265795225e-15,4.346622666156956e-15
257,3.844903025881146e-15,4.337093908014273e-15
258,3.830430944251478e-15,4.289830144676445e-15
259,3.82302361650415e-15,4.243437787723876e-15
260,3.7579715002359415e-15,4.200777692598767e-15
261,3.695019332291797e-15,4.171998554113741e-15
262,3.670999317027843e-15,4.155029498759391e-15
263,3.611524819389463e-15,4.102801817361226e-15
264,3.58067223816612e-15,4.086835219781237e-15
265,3.56023508723448e-15,4.071836572037439e-15
266,3.5124882446006994e-15,4.027535120501197e-15
267,3.4793997484973507e-15,3.968941085293879e-15
268,3.4485714272585333e-15,3.933323673819107e-15
269,3.4185697082573557e-15,3.876145452020036e-15
270,3.3678518032850674e-15,3.824405140279434e-15
271,3.361949602736936e-15,3.782513232042233e-15
272,3.3576280655960077e-15,3.747358664550666e-15
273,3.3231214228994555e-15,3.7201576401942204e-15
274,3.289163840585238e-15,3.672340471191946e-15
275,3.27016351638464e-15,3.6412134498208544e-15
276,3.2415976658371598e-15,3.619131560023934e-15
277,3.1891702351024845e-15,3.571017497659037e-15
278,3.169497086901009e-15,3.556139275905867e-15
279,3.1460942604842867e-15,3.5310979899843097e-15
280,3.1277389950963325e-15,3.4717105894417212e-15
281,3.10232864829585e-15,3.457752251907442e-15
282,3.0830614023347177e-15,3.3921163482917022e-15
283,3.033822178340092e-15,3.361817766411985e-15
284,3.0221787083727373e-15,3.3431291644838094e-15
285,3.008301694838462e-15,3.2863901926144737e-15
286,2.966743150037419e-15,3.2484796938080717e-15
287,2.9433081505335382e-15,3.236368952531845e-15
288,2.935336954929622e-15,3.21236013314293e-15
289,2.87826767123658e-15,3.1807907497827087e-15
290,2.8351990841635706e-15,3.169327789462126e-15
291,2.818706046228692e-15,3.159178957634818e-15
292,2.8143532759592555e-15,3.1373446522325696e-15
293,2.7742798637480133e-15,3.0867505611932876e-15
294,2.7461318113783013e-15,3.030328549643621e-15
295,2.7278005579531976e-15,3.0148533325117334e-15
296,2.7182454173387008e-15,2.976900054664148e-15
297,2.664086193149472e-15,2.9502782626397477e-15
298,2.6587397908079643e-15,2.934389626945764e-15
299,2.6406253837816447e-15,2.9136180930466034e-15
300,2.616829888297663e-15,2.8980457015690205e-15
301,2.5899266100065697e-15,2.821975562628739e-15
302,2.5777074004886452e-15,2.791189153497817e-15
303,2.5402702900443802e-15,2.771089586467162e-15
304,2.5176057465777785e-15,2.7555723945502447e-15
305,2.5044247602431527e-15,2.7445719781704915e-15
306,2.462927146975248e-15,2.7182773757419455e-15
307,2.4596389577823574e-15,2.689824502445675e-15
308,2.4247013825418442e-15,2.6520241838382442e-15
309,2.4040643619849613e-15,2.6296595900225487e-15
310,2.3881086120041444e-15,2.6206731636220784e-15
311,2.3718989325226158e-15,2.576070592052056e-15
312,2.3500839939834377e-15,2.5596396622495753e-15
313,2.332431115532682e-15,2.526217134676926e-15
314,2.3059452186260216e-15,2.489997892318501e-15
315,2.28782529793145e-15,2.456356052507054e-15
316,2.2771736525789504e-15,2.4467645320868813e-15
317,2.2719794690006943e-15,2.4135055897497166e-15
318,2.237797592698526e-15,2.3952388111033364e-15
319,2.199620485182613e-15,2.3756794225160313e-15
320,2.1947806190037724e-15,2.3466098645214455e-15
321,2.1692163976672646e-15,2.3379443082562603e-15
322,2.1628685187853067e-15,2.313195996083919e-15
323,2.141469703584865e-15,2.281262257358878e-15
324,2.1374689801445104e-15,2.2714889949652467e-15
325,2.1048260250094228e-15,2.2658935233560636e-15
326,2.0934025451964098e-15,2.2293503321482404e-15
327,2.057586089514134e-15,2.22306276515754e-15
