pert_id,rna_plate,reciprocal_rank,top1_correct,top5_hit,cohort,method
BRD-K25394294,CPC015_MCF7_6H_X2,0.06666666666666667,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K28936863,CPC015_MCF7_6H_X2,0.5,0.0,1.0,phase1_test,raw_mean_consensus
BRD-K29458283,CPC015_MCF7_6H_X2,0.16666666666666666,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K32247306,CPC015_MCF7_6H_X2,0.1,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K38055836,CPC015_MCF7_6H_X2,0.034482758620689655,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K38197229,CPC015_MCF7_6H_X2,0.05263157894736842,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K60770992,CPC015_MCF7_6H_X2,0.3333333333333333,0.0,1.0,phase1_test,raw_mean_consensus
BRD-K66353228,CPC015_MCF7_6H_X2,0.058823529411764705,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K70301876,CPC015_MCF7_6H_X2,0.05555555555555555,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K71103788,CPC015_MCF7_6H_X2,0.0625,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K75958195,CPC015_MCF7_6H_X2,0.0625,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K77695569,CPC015_MCF7_6H_X2,0.3333333333333333,0.0,1.0,phase1_test,raw_mean_consensus
BRD-K79759585,CPC015_MCF7_6H_X2,0.04,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K92049597,CPC015_MCF7_6H_X2,0.03125,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K92093830,CPC015_MCF7_6H_X2,0.3333333333333333,0.0,1.0,phase1_test,raw_mean_consensus
BRD-K95237249,CPC015_MCF7_6H_X2,0.03125,0.0,0.0,phase1_test,raw_mean_consensus
BRD-A54880345,CPC015_MCF7_6H_X3,0.14285714285714285,0.0,0.0,phase1_test,raw_mean_consensus
BRD-A55913614,CPC015_MCF7_6H_X3,0.043478260869565216,0.0,0.0,phase1_test,raw_mean_consensus
BRD-A75552914,CPC015_MCF7_6H_X3,1.0,1.0,1.0,phase1_test,raw_mean_consensus
BRD-A79981887,CPC015_MCF7_6H_X3,0.16666666666666666,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K25394294,CPC015_MCF7_6H_X3,0.16666666666666666,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K28936863,CPC015_MCF7_6H_X3,0.0625,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K29458283,CPC015_MCF7_6H_X3,0.043478260869565216,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K32247306,CPC015_MCF7_6H_X3,0.09090909090909091,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K38055836,CPC015_MCF7_6H_X3,0.05,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K38197229,CPC015_MCF7_6H_X3,1.0,1.0,1.0,phase1_test,raw_mean_consensus
BRD-K60770992,CPC015_MCF7_6H_X3,0.2,0.0,1.0,phase1_test,raw_mean_consensus
BRD-K66353228,CPC015_MCF7_6H_X3,0.125,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K70301876,CPC015_MCF7_6H_X3,0.05555555555555555,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K71103788,CPC015_MCF7_6H_X3,0.09090909090909091,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K75958195,CPC015_MCF7_6H_X3,0.058823529411764705,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K77695569,CPC015_MCF7_6H_X3,0.1,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K79759585,CPC015_MCF7_6H_X3,0.08333333333333333,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K92049597,CPC015_MCF7_6H_X3,0.034482758620689655,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K92093830,CPC015_MCF7_6H_X3,1.0,1.0,1.0,phase1_test,raw_mean_consensus
BRD-K95237249,CPC015_MCF7_6H_X3,0.3333333333333333,0.0,1.0,phase1_test,raw_mean_consensus
BRD-A54880345,CPC015_MCF7_6H_X4,0.030303030303030304,0.0,0.0,phase1_test,raw_mean_consensus
BRD-A55913614,CPC015_MCF7_6H_X4,0.043478260869565216,0.0,0.0,phase1_test,raw_mean_consensus
BRD-A75552914,CPC015_MCF7_6H_X4,0.03571428571428571,0.0,0.0,phase1_test,raw_mean_consensus
BRD-A79981887,CPC015_MCF7_6H_X4,0.1111111111111111,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K25394294,CPC015_MCF7_6H_X4,0.06666666666666667,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K28936863,CPC015_MCF7_6H_X4,0.03571428571428571,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K29458283,CPC015_MCF7_6H_X4,0.16666666666666666,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K32247306,CPC015_MCF7_6H_X4,0.043478260869565216,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K38055836,CPC015_MCF7_6H_X4,0.14285714285714285,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K38197229,CPC015_MCF7_6H_X4,0.030303030303030304,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K60770992,CPC015_MCF7_6H_X4,0.14285714285714285,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K66353228,CPC015_MCF7_6H_X4,0.07142857142857142,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K70301876,CPC015_MCF7_6H_X4,0.07692307692307693,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K71103788,CPC015_MCF7_6H_X4,0.03333333333333333,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K75958195,CPC015_MCF7_6H_X4,0.047619047619047616,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K77695569,CPC015_MCF7_6H_X4,0.04,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K79759585,CPC015_MCF7_6H_X4,0.25,0.0,1.0,phase1_test,raw_mean_consensus
BRD-K92049597,CPC015_MCF7_6H_X4,0.3333333333333333,0.0,1.0,phase1_test,raw_mean_consensus
