direction,generalized_eigenvalue,cumulative_discriminative_mass,signal_fraction_lambda_over_one_plus_lambda
193,6.37625722626237e-15,1.0,6.376257226262329e-15
194,6.306016775592104e-15,1.0,6.306016775592064e-15
195,6.242055177579258e-15,1.0,6.242055177579219e-15
196,6.22899290480848e-15,1.0,6.2289929048084414e-15
197,6.174882758055881e-15,1.0,6.174882758055842e-15
198,6.161871232810768e-15,1.0,6.1618712328107294e-15
199,6.1289584347049625e-15,1.0,6.1289584347049246e-15
200,6.037249351961167e-15,1.0,6.0372493519611305e-15
201,6.026783668635511e-15,1.0,6.026783668635475e-15
202,5.965754688319813e-15,1.0,5.965754688319778e-15
203,5.861841428084226e-15,1.0,5.8618414280841925e-15
204,5.821406528543997e-15,1.0,5.821406528543963e-15
205,5.735644475023394e-15,1.0,5.735644475023361e-15
206,5.616222883630858e-15,1.0,5.616222883630827e-15
207,5.533919114556316e-15,1.0,5.5339191145562854e-15
208,5.4454915336310224e-15,1.0,5.4454915336309924e-15
209,5.394645671514434e-15,1.0,5.394645671514406e-15
210,5.345140316899231e-15,1.0,5.345140316899202e-15
211,5.307326111629689e-15,1.0,5.3073261116296605e-15
212,5.300323619519145e-15,1.0,5.300323619519117e-15
213,5.2527038476629945e-15,1.0,5.252703847662967e-15
214,5.24178026758424e-15,1.0,5.2417802675842126e-15
215,5.195181853581254e-15,1.0,5.195181853581227e-15
216,5.141417626940542e-15,1.0,5.141417626940516e-15
217,5.040120365808505e-15,1.0,5.040120365808479e-15
218,5.006651670822439e-15,1.0,5.0066516708224134e-15
219,4.911061432802929e-15,1.0,4.911061432802905e-15
220,4.893082379278305e-15,1.0,4.893082379278281e-15
221,4.888546928012001e-15,1.0,4.888546928011977e-15
222,4.77657839251101e-15,1.0,4.776578392510986e-15
223,4.736453701100069e-15,1.0,4.736453701100047e-15
224,4.727357880170983e-15,1.0,4.727357880170961e-15
225,4.697602947075869e-15,1.0,4.697602947075847e-15
226,4.667961772528066e-15,1.0,4.667961772528044e-15
227,4.459374044637799e-15,1.0,4.459374044637779e-15
228,4.394111286895201e-15,1.0,4.394111286895181e-15
229,4.369705115647794e-15,1.0,4.3697051156477746e-15
230,4.29681869277052e-15,1.0,4.296818692770502e-15
231,4.269369768147431e-15,1.0,4.269369768147413e-15
232,4.240049286249036e-15,1.0,4.240049286249018e-15
233,4.192569949921699e-15,1.0,4.192569949921681e-15
234,4.173686213405814e-15,1.0,4.1736862134057966e-15
235,4.059895398857776e-15,1.0,4.05989539885776e-15
236,4.030655487096116e-15,1.0,4.0306554870961e-15
237,3.9993419493749355e-15,1.0,3.99934194937492e-15
238,3.9920991689708715e-15,1.0,3.992099168970856e-15
239,3.949027639952911e-15,1.0,3.949027639952895e-15
240,3.93418573085615e-15,1.0,3.934185730856134e-15
241,3.8962976129110335e-15,1.0,3.896297612911018e-15
242,3.832371677096428e-15,1.0,3.832371677096414e-15
243,3.807220476958775e-15,1.0,3.807220476958761e-15
244,3.774106997191097e-15,1.0,3.774106997191083e-15
245,3.731538834994675e-15,1.0,3.731538834994661e-15
246,3.665580798742731e-15,1.0,3.665580798742717e-15
247,3.626653056715742e-15,1.0,3.626653056715729e-15
248,3.623125402037946e-15,1.0,3.623125402037933e-15
249,3.5609519811522e-15,1.0,3.5609519811521874e-15
250,3.44177613754591e-15,1.0,3.441776137545898e-15
251,3.4374099659794213e-15,1.0,3.43740996597941e-15
252,3.4294088043012358e-15,1.0,3.4294088043012243e-15
253,3.4242115762379426e-15,1.0,3.4242115762379312e-15
254,3.36556629471411e-15,1.0,3.365566294714099e-15
255,3.3638831665476433e-15,1.0,3.3638831665476323e-15
256,3.3532259386002087e-15,1.0,3.3532259386001977e-15
257,3.3193823471871365e-15,1.0,3.3193823471871254e-15
258,3.288572838640862e-15,1.0,3.288572838640851e-15
259,3.2810173849012866e-15,1.0,3.2810173849012755e-15
260,3.2530254834254154e-15,1.0,3.2530254834254048e-15
261,3.2454643772712683e-15,1.0,3.2454643772712576e-15
262,3.2372643109039858e-15,1.0,3.237264310903975e-15
263,3.123246467835728e-15,1.0,3.123246467835718e-15
264,3.0733173942423532e-15,1.0,3.0733173942423438e-15
265,3.0629236564532406e-15,1.0,3.062923656453231e-15
266,3.037143785520307e-15,1.0,3.0371437855202975e-15
267,2.9805098780230093e-15,1.0,2.9805098780230006e-15
268,2.9750260336354115e-15,1.0,2.975026033635403e-15
269,2.9581857937070984e-15,1.0,2.9581857937070897e-15
270,2.9424197553659315e-15,1.0,2.942419755365923e-15
271,2.9151850060768934e-15,1.0,2.915185006076885e-15
272,2.8998964430775474e-15,1.0,2.899896443077539e-15
273,2.8888363496994528e-15,1.0,2.8888363496994445e-15
274,2.863283585122334e-15,1.0,2.863283585122326e-15
275,2.816706548640389e-15,1.0,2.8167065486403807e-15
276,2.809044509301103e-15,1.0,2.809044509301095e-15
277,2.7997191151396144e-15,1.0,2.7997191151396065e-15
278,2.7709464390498893e-15,1.0,2.7709464390498818e-15
279,2.7652144092102313e-15,1.0,2.765214409210224e-15
280,2.753631738029466e-15,1.0,2.7536317380294584e-15
281,2.739487891767671e-15,1.0,2.7394878917676636e-15
282,2.6188643810164683e-15,1.0,2.6188643810164612e-15
283,2.607398752254872e-15,1.0,2.607398752254865e-15
284,2.581436403715258e-15,1.0,2.581436403715251e-15
285,2.572611521115545e-15,1.0,2.5726115211155384e-15
286,2.5134648866454324e-15,1.0,2.513464886645426e-15
287,2.497649353112984e-15,1.0,2.497649353112978e-15
288,2.451575054594809e-15,1.0,2.451575054594803e-15
289,2.442478410460816e-15,1.0,2.44247841046081e-15
290,2.424174754794828e-15,1.0,2.424174754794822e-15
291,2.421831592588955e-15,1.0,2.421831592588949e-15
292,2.396084099402874e-15,1.0,2.396084099402868e-15
293,2.3940211600632102e-15,1.0,2.3940211600632043e-15
294,2.374964129633004e-15,1.0,2.374964129632998e-15
295,2.3723133821167117e-15,1.0,2.3723133821167058e-15
296,2.3638918099133108e-15,1.0,2.363891809913305e-15
297,2.339108108360951e-15,1.0,2.3391081083609456e-15
298,2.3119766954526973e-15,1.0,2.311976695452692e-15
299,2.3088727946955453e-15,1.0,2.30887279469554e-15
300,2.294491705764752e-15,1.0,2.294491705764747e-15
301,2.2465526143679356e-15,1.0,2.2465526143679304e-15
302,2.2358635888006787e-15,1.0,2.2358635888006736e-15
303,2.231217888353718e-15,1.0,2.2312178883537127e-15
304,2.1203269636929648e-15,1.0,2.12032696369296e-15
