gene_id,neural_weight_norm,lda_loading_norm,neural_rank,lda_rank,combined_rank
9093,0.2918862,0.12320411502962114,504.0,864.0,684.0
11031,0.27814594,0.14438705876595453,674.0,694.0,684.0
51026,0.26727092,0.15538799932109637,798.0,572.0,685.0
29890,0.26475263,0.15837972351030397,822.0,548.0,685.0
6777,0.297717,0.10331642479890163,419.0,952.0,685.5
3206,0.2893448,0.1282442811699284,544.0,830.0,687.0
6599,0.28226906,0.138896246138382,630.0,746.0,688.0
5018,0.28669915,0.1327628982353882,575.0,803.0,689.0
10046,0.29040313,0.12499062889421671,530.0,850.0,690.0
10273,0.27804455,0.1432565115090856,676.0,704.0,690.0
5547,0.26417544,0.15787530681698628,826.0,555.0,690.5
1786,0.2880878,0.1300034006009777,561.0,820.0,690.5
6253,0.27824792,0.1425808681605548,672.5,711.0,691.75
23378,0.25794607,0.16124432950132772,873.0,511.0,692.0
10782,0.2798575,0.14058981047947175,655.0,730.0,692.5
24149,0.26601416,0.15466392846067642,809.0,577.0,693.0
10450,0.281112,0.13906473370093964,642.0,744.0,693.0
9488,0.2652266,0.1553883273905364,816.0,571.0,693.5
6919,0.27345285,0.14812560310736514,740.0,652.0,696.0
5627,0.2739499,0.1473342335011655,733.0,659.0,696.0
5050,0.2601535,0.1592572270085275,857.0,538.0,697.5
22905,0.27321833,0.14786905747968784,742.0,654.0,698.0
30,0.28449488,0.13304584496503302,595.0,802.0,698.5
9097,0.27807024,0.1414012398736851,675.0,722.0,698.5
54505,0.28422624,0.13347335337636296,599.0,799.0,699.0
4232,0.28869614,0.12526030454663575,552.0,847.0,699.5
7264,0.2660852,0.15377835440427892,808.0,593.0,700.5
5829,0.26628777,0.15339321835454098,806.0,595.0,700.5
5696,0.29261,0.11644986539666216,491.0,911.0,701.0
10489,0.27193516,0.148380098890608,752.0,650.0,701.0
23039,0.26811627,0.15169563344177805,788.0,614.0,701.0
55746,0.28631407,0.1295180013641067,578.0,824.0,701.0
9688,0.24753153,0.16745653264506424,940.0,463.0,701.5
843,0.29008776,0.12237077230232779,535.0,870.0,702.5
10059,0.29275677,0.11384233930105866,486.0,921.0,703.5
11044,0.24277554,0.16866166593103088,958.0,449.0,703.5
1500,0.2769221,0.14197932540614833,688.0,720.0,704.0
54205,0.28071856,0.137135457854172,646.0,763.0,704.5
6597,0.2581188,0.15907543897531345,872.0,540.0,706.0
960,0.29432136,0.10369978376599685,462.0,950.0,706.0
3108,0.29385757,0.10648411114374881,469.0,947.0,708.0
80758,0.26423615,0.1538658777961327,825.0,591.0,708.0
1676,0.25925204,0.1580446428408347,864.0,554.0,709.0
1759,0.2605916,0.15616874606818748,851.0,567.0,709.0
644,0.25217214,0.16225237525308733,915.0,506.0,710.5
57019,0.29274943,0.11071046852429743,487.0,935.0,711.0
3628,0.283357,0.13108788048001505,610.0,813.0,711.5
7376,0.24239472,0.166556847741244,960.0,470.0,715.0
5747,0.27122614,0.14622774098316121,761.0,672.0,716.5
4208,0.2706957,0.14695936533651824,768.0,665.0,716.5
9289,0.28003812,0.13455536652062644,652.0,784.0,718.0
355,0.29271108,0.10581986444068257,489.0,948.0,718.5
4216,0.23801738,0.16698194780179956,969.0,468.0,718.5
1070,0.2605218,0.15404094928381729,852.0,588.0,720.0
1635,0.26009846,0.1542434970222336,858.0,585.0,721.5
23410,0.27719796,0.13772143968147885,684.0,760.0,722.0
1861,0.28597528,0.1233960621899744,582.0,862.0,722.0
55179,0.29255825,0.10144745108348811,493.0,956.0,724.5
6119,0.25782868,0.15511982886930206,875.0,575.0,725.0
2037,0.25784943,0.15468801701683063,874.0,576.0,725.0
8678,0.25549203,0.15674806347057052,890.0,563.0,726.5
23,0.28533566,0.122934386074214,586.0,867.0,726.5
11284,0.27508816,0.1404880570518946,722.0,733.0,727.5
9842,0.2844276,0.12408279454910252,596.0,859.0,727.5
